year,Letticia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,0
1954,0
1955,0
1956,0
1957,6
1958,0
1959,11
1960,8
1961,12
1962,6
1963,10
1964,9
1965,8
1966,10
1967,6
1968,9
1969,16
1970,18
1971,23
1972,16
1973,11
1974,11
1975,15
1976,13
1977,18
1978,9
1979,15
1980,16
1981,18
1982,14
1983,13
1984,11
1985,7
1986,19
1987,23
1988,13
1989,16
1990,12
1991,10
1992,11
1993,8
1994,13
1995,10
1996,14
1997,6
1998,8
1999,8
2000,12
2001,5
2002,9
2003,0
2004,0
2005,0
2006,5
2007,6
2008,5
2009,0
2010,0
2011,0
2012,8
