year,Lem
1880,12
1881,19
1882,25
1883,24
1884,12
1885,18
1886,21
1887,11
1888,13
1889,21
1890,17
1891,10
1892,23
1893,12
1894,13
1895,13
1896,16
1897,14
1898,21
1899,16
1900,6
1901,7
1902,13
1903,7
1904,10
1905,9
1906,7
1907,9
1908,6
1909,12
1910,14
1911,12
1912,12
1913,11
1914,22
1915,27
1916,20
1917,39
1918,34
1919,31
1920,23
1921,32
1922,28
1923,21
1924,27
1925,27
1926,21
1927,16
1928,23
1929,20
1930,13
1931,17
1932,17
1933,17
1934,14
1935,19
1936,13
1937,7
1938,10
1939,12
1940,17
1941,11
1942,16
1943,10
1944,10
1945,10
1946,22
1947,7
1948,13
1949,13
1950,15
1951,14
1952,10
1953,7
1954,9
1955,6
1956,8
1957,8
1958,6
1959,7
1960,10
1961,5
1962,0
1963,6
1964,8
1965,5
1966,5
1967,0
1968,0
1969,5
1970,0
1971,6
1972,0
1973,0
1974,0
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
