year,Lianna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,8
1952,5
1953,0
1954,5
1955,0
1956,0
1957,5
1958,0
1959,8
1960,0
1961,9
1962,7
1963,12
1964,14
1965,9
1966,12
1967,6
1968,11
1969,13
1970,12
1971,21
1972,8
1973,8
1974,14
1975,9
1976,12
1977,22
1978,21
1979,27
1980,40
1981,27
1982,30
1983,61
1984,47
1985,44
1986,55
1987,47
1988,78
1989,92
1990,101
1991,78
1992,107
1993,69
1994,86
1995,111
1996,87
1997,95
1998,105
1999,114
2000,118
2001,108
2002,103
2003,116
2004,132
2005,127
2006,134
2007,165
2008,219
2009,220
2010,210
2011,227
2012,217
