year,Lanna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,6
1934,0
1935,0
1936,0
1937,0
1938,0
1939,5
1940,10
1941,20
1942,21
1943,22
1944,19
1945,19
1946,21
1947,38
1948,26
1949,20
1950,25
1951,37
1952,30
1953,12
1954,18
1955,22
1956,15
1957,20
1958,18
1959,14
1960,21
1961,30
1962,29
1963,17
1964,20
1965,26
1966,27
1967,25
1968,19
1969,29
1970,32
1971,27
1972,18
1973,22
1974,19
1975,22
1976,17
1977,31
1978,24
1979,31
1980,25
1981,25
1982,18
1983,18
1984,20
1985,16
1986,26
1987,24
1988,23
1989,19
1990,16
1991,16
1992,20
1993,16
1994,19
1995,14
1996,16
1997,21
1998,16
1999,19
2000,23
2001,19
2002,31
2003,38
2004,45
2005,38
2006,44
2007,46
2008,35
2009,36
2010,28
2011,40
2012,41
