year,Lawrance
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,5
1906,0
1907,0
1908,0
1909,0
1910,8
1911,0
1912,6
1913,8
1914,17
1915,17
1916,15
1917,14
1918,18
1919,24
1920,27
1921,26
1922,11
1923,35
1924,19
1925,18
1926,26
1927,34
1928,25
1929,24
1930,25
1931,23
1932,28
1933,23
1934,29
1935,20
1936,32
1937,37
1938,39
1939,44
1940,31
1941,53
1942,40
1943,36
1944,37
1945,53
1946,41
1947,45
1948,64
1949,55
1950,69
1951,63
1952,71
1953,52
1954,54
1955,52
1956,55
1957,59
1958,43
1959,47
1960,41
1961,47
1962,34
1963,42
1964,40
1965,34
1966,29
1967,25
1968,33
1969,37
1970,29
1971,21
1972,21
1973,17
1974,21
1975,19
1976,19
1977,24
1978,23
1979,14
1980,16
1981,17
1982,14
1983,15
1984,16
1985,8
1986,15
1987,9
1988,10
1989,8
1990,20
1991,11
1992,12
1993,17
1994,12
1995,11
1996,11
1997,7
1998,7
1999,13
2000,9
2001,9
2002,8
2003,11
2004,12
2005,5
2006,5
2007,11
2008,11
2009,0
2010,0
2011,6
2012,6
