year,Licia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,0
1949,0
1950,7
1951,6
1952,6
1953,5
1954,11
1955,11
1956,11
1957,10
1958,10
1959,16
1960,53
1961,33
1962,30
1963,35
1964,30
1965,26
1966,16
1967,23
1968,18
1969,33
1970,11
1971,18
1972,19
1973,18
1974,13
1975,9
1976,10
1977,17
1978,17
1979,11
1980,22
1981,11
1982,14
1983,7
1984,8
1985,11
1986,6
1987,15
1988,11
1989,0
1990,9
1991,0
1992,0
1993,6
1994,0
1995,6
1996,6
1997,0
1998,0
1999,0
2000,9
2001,0
2002,0
2003,0
2004,5
2005,6
2006,0
2007,7
2008,0
2009,0
2010,5
2011,0
2012,0
