year,Lorretta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,0
1902,0
1903,5
1904,5
1905,9
1906,5
1907,0
1908,0
1909,0
1910,7
1911,6
1912,12
1913,7
1914,21
1915,18
1916,31
1917,23
1918,24
1919,26
1920,33
1921,30
1922,29
1923,38
1924,36
1925,39
1926,32
1927,37
1928,27
1929,27
1930,24
1931,39
1932,37
1933,40
1934,42
1935,35
1936,39
1937,41
1938,44
1939,50
1940,49
1941,43
1942,44
1943,30
1944,36
1945,31
1946,41
1947,45
1948,43
1949,49
1950,41
1951,38
1952,34
1953,44
1954,48
1955,45
1956,58
1957,62
1958,47
1959,62
1960,54
1961,51
1962,62
1963,36
1964,49
1965,44
1966,51
1967,43
1968,49
1969,45
1970,38
1971,48
1972,36
1973,36
1974,28
1975,22
1976,14
1977,19
1978,13
1979,17
1980,13
1981,8
1982,5
1983,10
1984,16
1985,12
1986,9
1987,10
1988,6
1989,9
1990,8
1991,0
1992,0
1993,5
1994,0
1995,6
1996,0
1997,9
1998,0
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
