year,Latesha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,0
1968,8
1969,17
1970,32
1971,37
1972,64
1973,58
1974,103
1975,99
1976,107
1977,159
1978,134
1979,141
1980,184
1981,157
1982,156
1983,121
1984,131
1985,140
1986,112
1987,91
1988,97
1989,125
1990,132
1991,125
1992,119
1993,100
1994,79
1995,61
1996,46
1997,41
1998,29
1999,20
2000,22
2001,17
2002,11
2003,9
2004,6
2005,7
2006,0
2007,7
2008,0
2009,0
2010,0
2011,0
2012,0
