year,Laural
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,6
1926,5
1927,7
1928,8
1929,5
1930,0
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,17
1940,7
1941,7
1942,7
1943,14
1944,10
1945,17
1946,19
1947,20
1948,18
1949,21
1950,19
1951,25
1952,6
1953,24
1954,20
1955,25
1956,30
1957,52
1958,32
1959,20
1960,31
1961,33
1962,27
1963,25
1964,22
1965,22
1966,20
1967,18
1968,22
1969,19
1970,25
1971,16
1972,12
1973,8
1974,14
1975,13
1976,15
1977,6
1978,7
1979,12
1980,7
1981,11
1982,11
1983,5
1984,16
1985,14
1986,7
1987,8
1988,6
1989,10
1990,6
1991,8
1992,0
1993,5
1994,12
1995,7
1996,10
1997,9
1998,13
1999,12
2000,10
2001,6
2002,5
2003,10
2004,7
2005,0
2006,10
2007,5
2008,0
2009,0
2010,0
2011,0
2012,5
