year,Lemont
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,7
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,6
1940,0
1941,5
1942,6
1943,5
1944,5
1945,5
1946,0
1947,0
1948,0
1949,0
1950,8
1951,9
1952,5
1953,12
1954,8
1955,7
1956,6
1957,6
1958,11
1959,6
1960,8
1961,19
1962,10
1963,13
1964,16
1965,14
1966,11
1967,10
1968,23
1969,18
1970,18
1971,17
1972,29
1973,31
1974,33
1975,14
1976,20
1977,22
1978,20
1979,16
1980,5
1981,9
1982,14
1983,14
1984,9
1985,7
1986,9
1987,10
1988,9
1989,10
1990,19
1991,12
1992,5
1993,6
1994,5
1995,0
1996,0
1997,0
1998,10
1999,0
2000,0
2001,6
2002,0
2003,5
2004,0
2005,0
2006,7
2007,6
2008,0
2009,5
2010,0
2011,0
2012,0
