year,Lavenia
1880,8
1881,5
1882,5
1883,5
1884,5
1885,10
1886,0
1887,0
1888,8
1889,7
1890,10
1891,9
1892,8
1893,9
1894,5
1895,5
1896,12
1897,0
1898,10
1899,0
1900,11
1901,5
1902,9
1903,10
1904,7
1905,9
1906,10
1907,14
1908,8
1909,9
1910,10
1911,11
1912,19
1913,16
1914,19
1915,25
1916,19
1917,21
1918,23
1919,24
1920,36
1921,27
1922,32
1923,27
1924,34
1925,34
1926,31
1927,24
1928,24
1929,23
1930,28
1931,28
1932,20
1933,12
1934,21
1935,26
1936,15
1937,21
1938,22
1939,19
1940,22
1941,21
1942,20
1943,20
1944,19
1945,16
1946,16
1947,24
1948,26
1949,22
1950,22
1951,16
1952,12
1953,20
1954,18
1955,21
1956,18
1957,23
1958,12
1959,23
1960,21
1961,16
1962,14
1963,15
1964,14
1965,18
1966,21
1967,12
1968,11
1969,14
1970,23
1971,18
1972,18
1973,16
1974,17
1975,7
1976,19
1977,9
1978,11
1979,10
1980,8
1981,13
1982,0
1983,6
1984,10
1985,6
1986,6
1987,6
1988,0
1989,0
1990,0
1991,7
1992,0
1993,0
1994,6
1995,6
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
