year,Leodis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,7
1916,0
1917,0
1918,0
1919,5
1920,11
1921,0
1922,5
1923,5
1924,0
1925,7
1926,6
1927,6
1928,0
1929,0
1930,0
1931,8
1932,10
1933,13
1934,9
1935,15
1936,10
1937,10
1938,6
1939,11
1940,8
1941,14
1942,7
1943,11
1944,10
1945,8
1946,10
1947,14
1948,14
1949,6
1950,15
1951,11
1952,11
1953,8
1954,14
1955,5
1956,5
1957,13
1958,12
1959,6
1960,9
1961,5
1962,6
1963,6
1964,8
1965,6
1966,7
1967,0
1968,0
1969,8
1970,8
1971,5
1972,5
1973,0
1974,0
1975,7
1976,9
1977,0
1978,0
1979,8
1980,5
1981,0
1982,0
1983,5
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
