year,Lindsay (F),Lindsay (M)
1880,0.000000,0.000035
1881,0.000000,0.000042
1882,0.000000,0.000041
1883,0.000000,0.000000
1884,0.000000,0.000037
1885,0.000000,0.000025
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000027
1889,0.000000,0.000035
1890,0.000000,0.000043
1891,0.000000,0.000021
1892,0.000000,0.000015
1893,0.000000,0.000065
1894,0.000000,0.000015
1895,0.000000,0.000031
1896,0.000000,0.000000
1897,0.000000,0.000020
1898,0.000000,0.000013
1899,0.000000,0.000029
1900,0.000000,0.000033
1901,0.000000,0.000014
1902,0.000000,0.000023
1903,0.000000,0.000026
1904,0.000000,0.000032
1905,0.000000,0.000021
1906,0.000000,0.000000
1907,0.000000,0.000019
1908,0.000000,0.000016
1909,0.000000,0.000022
1910,0.000000,0.000020
1911,0.000000,0.000014
1912,0.000000,0.000017
1913,0.000000,0.000024
1914,0.000000,0.000027
1915,0.000000,0.000022
1916,0.000003,0.000022
1917,0.000000,0.000022
1918,0.000000,0.000018
1919,0.000000,0.000017
1920,0.000000,0.000026
1921,0.000002,0.000017
1922,0.000000,0.000017
1923,0.000000,0.000020
1924,0.000000,0.000022
1925,0.000000,0.000021
1926,0.000003,0.000016
1927,0.000000,0.000017
1928,0.000003,0.000023
1929,0.000000,0.000020
1930,0.000000,0.000018
1931,0.000000,0.000017
1932,0.000000,0.000019
1933,0.000000,0.000017
1934,0.000000,0.000020
1935,0.000000,0.000017
1936,0.000007,0.000021
1937,0.000004,0.000020
1938,0.000003,0.000021
1939,0.000002,0.000017
1940,0.000004,0.000017
1941,0.000004,0.000015
1942,0.000004,0.000014
1943,0.000005,0.000018
1944,0.000008,0.000014
1945,0.000007,0.000019
1946,0.000010,0.000018
1947,0.000016,0.000017
1948,0.000020,0.000019
1949,0.000024,0.000018
1950,0.000033,0.000028
1951,0.000030,0.000029
1952,0.000033,0.000027
1953,0.000025,0.000034
1954,0.000019,0.000024
1955,0.000023,0.000030
1956,0.000020,0.000023
1957,0.000023,0.000023
1958,0.000020,0.000022
1959,0.000017,0.000028
1960,0.000013,0.000037
1961,0.000014,0.000030
1962,0.000015,0.000029
1963,0.000017,0.000023
1964,0.000014,0.000017
1965,0.000014,0.000020
1966,0.000017,0.000016
1967,0.000014,0.000012
1968,0.000021,0.000014
1969,0.000018,0.000013
1970,0.000023,0.000011
1971,0.000022,0.000011
1972,0.000020,0.000011
1973,0.000038,0.000007
1974,0.000070,0.000012
1975,0.000171,0.000007
1976,0.000682,0.000016
1977,0.000829,0.000020
1978,0.000984,0.000015
1979,0.001042,0.000016
1980,0.001264,0.000015
1981,0.001689,0.000017
1982,0.002354,0.000024
1983,0.002489,0.000026
1984,0.002439,0.000021
1985,0.002206,0.000024
1986,0.001954,0.000017
1987,0.001812,0.000016
1988,0.001631,0.000013
1989,0.001437,0.000013
1990,0.001275,0.000010
1991,0.001152,0.000008
1992,0.001110,0.000007
1993,0.000972,0.000006
1994,0.000834,0.000004
1995,0.000700,0.000006
1996,0.000657,0.000006
1997,0.000575,0.000002
1998,0.000527,0.000002
1999,0.000500,0.000005
2000,0.000476,0.000003
2001,0.000401,0.000002
2002,0.000332,0.000000
2003,0.000323,0.000002
2004,0.000354,0.000002
2005,0.000364,0.000003
2006,0.000316,0.000002
2007,0.000267,0.000003
2008,0.000216,0.000000
2009,0.000151,0.000001
2010,0.000133,0.000000
2011,0.000118,0.000002
2012,0.000108,0.000000
2013,0.000113,0.000000
2014,0.000117,0.000002
2015,0.000089,0.000002
2016,0.000070,0.000000
2017,0.000061,0.000002
2018,0.000050,0.000000
2019,0.000042,0.000000
2020,0.000038,0.000000
