year,Lucetta
1880,0
1881,0
1882,6
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,9
1895,6
1896,5
1897,0
1898,9
1899,5
1900,7
1901,0
1902,10
1903,10
1904,7
1905,8
1906,6
1907,5
1908,0
1909,6
1910,10
1911,0
1912,6
1913,9
1914,9
1915,12
1916,22
1917,15
1918,14
1919,15
1920,10
1921,13
1922,10
1923,16
1924,14
1925,19
1926,8
1927,9
1928,14
1929,17
1930,6
1931,6
1932,9
1933,7
1934,11
1935,0
1936,5
1937,9
1938,10
1939,0
1940,10
1941,13
1942,8
1943,0
1944,5
1945,5
1946,9
1947,9
1948,5
1949,11
1950,5
1951,7
1952,6
1953,7
1954,8
1955,6
1956,0
1957,0
1958,6
1959,0
1960,0
1961,5
1962,7
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
