year,Laverna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,7
1890,0
1891,5
1892,0
1893,7
1894,0
1895,10
1896,10
1897,7
1898,9
1899,6
1900,9
1901,9
1902,13
1903,14
1904,9
1905,9
1906,11
1907,13
1908,6
1909,22
1910,22
1911,27
1912,41
1913,42
1914,62
1915,82
1916,90
1917,104
1918,112
1919,120
1920,127
1921,112
1922,111
1923,114
1924,98
1925,111
1926,102
1927,82
1928,101
1929,93
1930,85
1931,91
1932,69
1933,84
1934,74
1935,64
1936,59
1937,44
1938,57
1939,56
1940,42
1941,46
1942,55
1943,49
1944,52
1945,43
1946,31
1947,48
1948,50
1949,38
1950,29
1951,39
1952,41
1953,36
1954,29
1955,30
1956,38
1957,28
1958,30
1959,29
1960,32
1961,30
1962,20
1963,22
1964,21
1965,19
1966,18
1967,16
1968,13
1969,20
1970,28
1971,8
1972,19
1973,11
1974,7
1975,7
1976,13
1977,5
1978,5
1979,0
1980,5
1981,7
1982,6
1983,0
1984,0
1985,7
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
