year,Lavina
1880,9
1881,18
1882,26
1883,26
1884,20
1885,33
1886,28
1887,18
1888,38
1889,29
1890,33
1891,31
1892,30
1893,42
1894,33
1895,33
1896,32
1897,34
1898,46
1899,47
1900,52
1901,34
1902,38
1903,39
1904,40
1905,46
1906,39
1907,43
1908,49
1909,44
1910,52
1911,63
1912,85
1913,76
1914,96
1915,127
1916,113
1917,149
1918,133
1919,113
1920,157
1921,141
1922,126
1923,116
1924,130
1925,104
1926,104
1927,94
1928,108
1929,98
1930,95
1931,89
1932,87
1933,90
1934,86
1935,71
1936,83
1937,73
1938,74
1939,56
1940,58
1941,52
1942,42
1943,60
1944,41
1945,44
1946,54
1947,45
1948,44
1949,44
1950,43
1951,48
1952,47
1953,31
1954,37
1955,41
1956,45
1957,46
1958,45
1959,37
1960,29
1961,32
1962,40
1963,36
1964,32
1965,23
1966,31
1967,28
1968,20
1969,37
1970,31
1971,50
1972,27
1973,42
1974,34
1975,29
1976,34
1977,20
1978,34
1979,27
1980,25
1981,25
1982,29
1983,20
1984,23
1985,26
1986,20
1987,16
1988,21
1989,24
1990,32
1991,16
1992,21
1993,17
1994,19
1995,14
1996,12
1997,21
1998,20
1999,21
2000,21
2001,14
2002,28
2003,20
2004,22
2005,29
2006,31
2007,13
2008,24
2009,26
2010,40
2011,21
2012,32
