year,Leandro
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,6
1907,0
1908,6
1909,5
1910,6
1911,5
1912,12
1913,11
1914,15
1915,11
1916,12
1917,8
1918,6
1919,17
1920,28
1921,13
1922,18
1923,17
1924,22
1925,21
1926,27
1927,14
1928,20
1929,26
1930,23
1931,26
1932,29
1933,18
1934,25
1935,34
1936,19
1937,20
1938,28
1939,25
1940,19
1941,25
1942,20
1943,30
1944,19
1945,13
1946,18
1947,30
1948,29
1949,21
1950,34
1951,20
1952,26
1953,20
1954,22
1955,26
1956,20
1957,27
1958,19
1959,29
1960,25
1961,29
1962,42
1963,24
1964,33
1965,25
1966,33
1967,34
1968,28
1969,39
1970,32
1971,48
1972,29
1973,49
1974,33
1975,36
1976,48
1977,27
1978,43
1979,45
1980,40
1981,39
1982,36
1983,39
1984,37
1985,27
1986,42
1987,45
1988,56
1989,78
1990,64
1991,63
1992,59
1993,49
1994,54
1995,56
1996,48
1997,51
1998,63
1999,112
2000,94
2001,95
2002,131
2003,126
2004,160
2005,211
2006,231
2007,238
2008,224
2009,240
2010,263
2011,257
2012,267
