year,Luc
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,6
1955,0
1956,5
1957,8
1958,6
1959,8
1960,9
1961,9
1962,8
1963,10
1964,9
1965,15
1966,6
1967,11
1968,9
1969,5
1970,5
1971,7
1972,10
1973,8
1974,0
1975,7
1976,11
1977,0
1978,10
1979,9
1980,17
1981,11
1982,14
1983,20
1984,21
1985,10
1986,10
1987,10
1988,31
1989,12
1990,39
1991,31
1992,45
1993,70
1994,42
1995,84
1996,91
1997,103
1998,102
1999,109
2000,137
2001,147
2002,172
2003,153
2004,154
2005,152
2006,137
2007,118
2008,134
2009,100
2010,124
2011,97
2012,88
