year,Lavona
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,8
1904,5
1905,7
1906,7
1907,7
1908,8
1909,12
1910,5
1911,6
1912,15
1913,12
1914,18
1915,34
1916,31
1917,35
1918,42
1919,28
1920,47
1921,43
1922,33
1923,34
1924,45
1925,39
1926,27
1927,46
1928,43
1929,43
1930,51
1931,44
1932,44
1933,51
1934,52
1935,48
1936,33
1937,46
1938,34
1939,38
1940,32
1941,24
1942,20
1943,24
1944,18
1945,17
1946,22
1947,20
1948,31
1949,16
1950,16
1951,26
1952,14
1953,16
1954,19
1955,23
1956,16
1957,23
1958,14
1959,10
1960,13
1961,9
1962,13
1963,22
1964,18
1965,0
1966,11
1967,19
1968,5
1969,17
1970,11
1971,6
1972,10
1973,5
1974,9
1975,10
1976,5
1977,0
1978,6
1979,7
1980,8
1981,8
1982,8
1983,0
1984,7
1985,8
1986,0
1987,0
1988,8
1989,0
1990,0
1991,0
1992,0
1993,6
1994,5
1995,9
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
