year,Lorenda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,9
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,5
1936,0
1937,0
1938,0
1939,5
1940,0
1941,5
1942,6
1943,9
1944,6
1945,6
1946,8
1947,8
1948,7
1949,8
1950,5
1951,13
1952,11
1953,12
1954,18
1955,14
1956,29
1957,20
1958,16
1959,15
1960,22
1961,30
1962,27
1963,24
1964,29
1965,30
1966,31
1967,39
1968,24
1969,25
1970,27
1971,23
1972,23
1973,10
1974,20
1975,12
1976,16
1977,14
1978,12
1979,15
1980,8
1981,11
1982,11
1983,12
1984,7
1985,11
1986,9
1987,7
1988,9
1989,13
1990,6
1991,6
1992,8
1993,0
1994,0
1995,6
1996,6
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
