year,Lanette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,7
1918,0
1919,0
1920,0
1921,0
1922,6
1923,0
1924,6
1925,7
1926,5
1927,8
1928,9
1929,5
1930,12
1931,8
1932,6
1933,0
1934,6
1935,6
1936,11
1937,6
1938,8
1939,14
1940,22
1941,37
1942,26
1943,32
1944,26
1945,21
1946,53
1947,50
1948,38
1949,64
1950,58
1951,69
1952,81
1953,95
1954,92
1955,109
1956,99
1957,107
1958,92
1959,106
1960,153
1961,173
1962,125
1963,143
1964,186
1965,139
1966,163
1967,173
1968,167
1969,179
1970,172
1971,148
1972,122
1973,84
1974,90
1975,84
1976,79
1977,78
1978,71
1979,98
1980,83
1981,79
1982,67
1983,34
1984,48
1985,62
1986,39
1987,58
1988,46
1989,49
1990,28
1991,37
1992,26
1993,33
1994,21
1995,11
1996,20
1997,14
1998,19
1999,17
2000,10
2001,16
2002,17
2003,13
2004,11
2005,10
2006,11
2007,12
2008,0
2009,8
2010,6
2011,11
2012,7
