year,Lissa
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,8
1938,0
1939,0
1940,0
1941,0
1942,8
1943,10
1944,9
1945,5
1946,13
1947,22
1948,37
1949,33
1950,44
1951,48
1952,72
1953,65
1954,81
1955,72
1956,82
1957,81
1958,116
1959,100
1960,117
1961,114
1962,102
1963,122
1964,112
1965,88
1966,86
1967,69
1968,96
1969,83
1970,89
1971,88
1972,81
1973,71
1974,59
1975,49
1976,62
1977,58
1978,62
1979,74
1980,67
1981,65
1982,66
1983,52
1984,54
1985,67
1986,60
1987,54
1988,46
1989,65
1990,78
1991,43
1992,38
1993,43
1994,41
1995,34
1996,37
1997,23
1998,30
1999,37
2000,14
2001,23
2002,21
2003,16
2004,15
2005,21
2006,18
2007,22
2008,12
2009,17
2010,12
2011,17
2012,13
