year,Lennart
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,7
1914,10
1915,12
1916,18
1917,8
1918,7
1919,5
1920,7
1921,8
1922,10
1923,6
1924,11
1925,17
1926,10
1927,8
1928,13
1929,11
1930,16
1931,13
1932,12
1933,9
1934,7
1935,15
1936,8
1937,9
1938,8
1939,5
1940,7
1941,0
1942,9
1943,12
1944,8
1945,0
1946,7
1947,7
1948,7
1949,0
1950,5
1951,7
1952,6
1953,0
1954,0
1955,0
1956,7
1957,6
1958,6
1959,8
1960,0
1961,0
1962,5
1963,8
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,5
2011,0
2012,8
