year,Leela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,5
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,0
1951,0
1952,5
1953,5
1954,7
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,7
1963,7
1964,6
1965,9
1966,10
1967,0
1968,0
1969,8
1970,7
1971,9
1972,9
1973,7
1974,13
1975,8
1976,14
1977,13
1978,14
1979,15
1980,19
1981,12
1982,8
1983,19
1984,23
1985,15
1986,17
1987,21
1988,14
1989,9
1990,25
1991,17
1992,19
1993,15
1994,23
1995,16
1996,16
1997,17
1998,18
1999,28
2000,42
2001,39
2002,46
2003,69
2004,70
2005,74
2006,123
2007,126
2008,134
2009,141
2010,134
2011,201
2012,209
