year,Lathan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,0
1914,5
1915,7
1916,5
1917,0
1918,8
1919,7
1920,11
1921,7
1922,13
1923,7
1924,13
1925,5
1926,11
1927,8
1928,7
1929,8
1930,11
1931,9
1932,7
1933,8
1934,12
1935,0
1936,5
1937,9
1938,8
1939,9
1940,11
1941,5
1942,8
1943,6
1944,7
1945,7
1946,7
1947,12
1948,11
1949,10
1950,14
1951,5
1952,9
1953,11
1954,16
1955,7
1956,12
1957,13
1958,16
1959,0
1960,7
1961,5
1962,7
1963,7
1964,12
1965,13
1966,9
1967,12
1968,13
1969,11
1970,15
1971,11
1972,12
1973,7
1974,17
1975,18
1976,15
1977,9
1978,12
1979,17
1980,14
1981,22
1982,21
1983,18
1984,17
1985,16
1986,21
1987,17
1988,18
1989,29
1990,25
1991,24
1992,29
1993,29
1994,33
1995,30
1996,38
1997,50
1998,47
1999,55
2000,66
2001,65
2002,95
2003,115
2004,108
2005,111
2006,114
2007,135
2008,138
2009,173
2010,203
2011,214
2012,154
