year,Linford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,11
1914,7
1915,6
1916,8
1917,11
1918,18
1919,15
1920,7
1921,20
1922,17
1923,10
1924,20
1925,17
1926,11
1927,18
1928,15
1929,9
1930,12
1931,12
1932,15
1933,12
1934,11
1935,14
1936,10
1937,11
1938,8
1939,16
1940,11
1941,15
1942,17
1943,11
1944,12
1945,12
1946,12
1947,9
1948,7
1949,8
1950,12
1951,15
1952,7
1953,14
1954,9
1955,7
1956,6
1957,7
1958,11
1959,12
1960,9
1961,6
1962,8
1963,7
1964,8
1965,6
1966,9
1967,6
1968,7
1969,7
1970,0
1971,0
1972,6
1973,0
1974,0
1975,9
1976,6
1977,6
1978,5
1979,0
1980,7
1981,0
1982,7
1983,5
1984,5
1985,5
1986,0
1987,0
1988,8
1989,0
1990,0
1991,7
1992,0
1993,5
1994,0
1995,5
1996,0
1997,0
1998,0
1999,6
2000,7
2001,0
2002,0
2003,0
2004,6
2005,0
2006,0
2007,6
2008,5
2009,6
2010,0
2011,7
2012,0
