year,Leigha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,6
1962,0
1963,0
1964,7
1965,10
1966,15
1967,10
1968,14
1969,29
1970,12
1971,18
1972,24
1973,14
1974,28
1975,29
1976,27
1977,37
1978,44
1979,59
1980,64
1981,65
1982,88
1983,73
1984,84
1985,83
1986,97
1987,140
1988,115
1989,145
1990,165
1991,178
1992,133
1993,142
1994,130
1995,142
1996,113
1997,125
1998,109
1999,145
2000,157
2001,154
2002,154
2003,148
2004,182
2005,174
2006,188
2007,185
2008,227
2009,250
2010,234
2011,265
2012,229
