year,Lucretia
1880,29
1881,52
1882,65
1883,35
1884,26
1885,34
1886,32
1887,27
1888,35
1889,30
1890,32
1891,35
1892,32
1893,27
1894,31
1895,29
1896,31
1897,30
1898,26
1899,29
1900,28
1901,30
1902,28
1903,32
1904,33
1905,36
1906,30
1907,30
1908,35
1909,37
1910,29
1911,40
1912,51
1913,49
1914,61
1915,92
1916,89
1917,78
1918,92
1919,76
1920,101
1921,97
1922,87
1923,75
1924,92
1925,79
1926,107
1927,105
1928,87
1929,72
1930,68
1931,75
1932,104
1933,71
1934,66
1935,81
1936,92
1937,88
1938,88
1939,108
1940,146
1941,164
1942,152
1943,128
1944,119
1945,96
1946,126
1947,118
1948,125
1949,113
1950,134
1951,121
1952,110
1953,137
1954,141
1955,142
1956,144
1957,128
1958,121
1959,133
1960,178
1961,178
1962,169
1963,161
1964,171
1965,150
1966,161
1967,114
1968,133
1969,136
1970,177
1971,189
1972,173
1973,173
1974,190
1975,145
1976,144
1977,142
1978,125
1979,110
1980,104
1981,114
1982,117
1983,85
1984,67
1985,73
1986,76
1987,66
1988,72
1989,68
1990,70
1991,65
1992,53
1993,41
1994,35
1995,25
1996,20
1997,22
1998,21
1999,13
2000,13
2001,7
2002,12
2003,6
2004,6
2005,0
2006,5
2007,9
2008,6
2009,6
2010,8
2011,6
2012,8
