year,Lenard
1880,8
1881,14
1882,12
1883,7
1884,10
1885,16
1886,9
1887,9
1888,5
1889,10
1890,6
1891,9
1892,9
1893,8
1894,13
1895,20
1896,13
1897,14
1898,12
1899,14
1900,20
1901,14
1902,19
1903,23
1904,12
1905,25
1906,26
1907,30
1908,22
1909,22
1910,32
1911,38
1912,56
1913,57
1914,86
1915,107
1916,118
1917,141
1918,135
1919,182
1920,201
1921,183
1922,195
1923,202
1924,199
1925,205
1926,186
1927,196
1928,199
1929,180
1930,166
1931,145
1932,188
1933,137
1934,123
1935,136
1936,137
1937,136
1938,139
1939,111
1940,128
1941,129
1942,118
1943,137
1944,117
1945,106
1946,112
1947,126
1948,119
1949,132
1950,127
1951,121
1952,108
1953,128
1954,135
1955,120
1956,126
1957,135
1958,114
1959,90
1960,130
1961,100
1962,94
1963,106
1964,91
1965,100
1966,98
1967,66
1968,73
1969,80
1970,84
1971,88
1972,80
1973,76
1974,73
1975,52
1976,57
1977,52
1978,43
1979,58
1980,71
1981,63
1982,67
1983,66
1984,55
1985,46
1986,44
1987,39
1988,48
1989,43
1990,43
1991,36
1992,51
1993,35
1994,29
1995,28
1996,24
1997,24
1998,24
1999,25
2000,18
2001,17
2002,23
2003,20
2004,15
2005,23
2006,14
2007,22
2008,19
2009,15
2010,11
2011,15
2012,21
