year,Leota
1880,30
1881,24
1882,21
1883,25
1884,39
1885,42
1886,39
1887,43
1888,56
1889,51
1890,58
1891,59
1892,71
1893,71
1894,60
1895,66
1896,96
1897,71
1898,99
1899,77
1900,99
1901,74
1902,74
1903,82
1904,108
1905,96
1906,87
1907,79
1908,99
1909,99
1910,108
1911,121
1912,156
1913,207
1914,249
1915,312
1916,341
1917,314
1918,359
1919,311
1920,340
1921,340
1922,281
1923,266
1924,309
1925,281
1926,244
1927,241
1928,225
1929,205
1930,201
1931,193
1932,190
1933,164
1934,153
1935,136
1936,157
1937,162
1938,140
1939,126
1940,133
1941,117
1942,96
1943,104
1944,87
1945,74
1946,82
1947,73
1948,52
1949,52
1950,64
1951,33
1952,45
1953,50
1954,28
1955,36
1956,37
1957,24
1958,21
1959,32
1960,27
1961,23
1962,16
1963,21
1964,21
1965,15
1966,24
1967,6
1968,12
1969,17
1970,16
1971,12
1972,10
1973,13
1974,11
1975,6
1976,10
1977,5
1978,9
1979,5
1980,6
1981,5
1982,7
1983,5
1984,0
1985,6
1986,0
1987,0
1988,0
1989,0
1990,5
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
