year,Leobardo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,6
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,8
1929,6
1930,0
1931,5
1932,0
1933,5
1934,5
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,8
1943,7
1944,6
1945,9
1946,8
1947,11
1948,8
1949,9
1950,8
1951,10
1952,15
1953,9
1954,11
1955,12
1956,10
1957,15
1958,8
1959,6
1960,6
1961,13
1962,6
1963,0
1964,12
1965,9
1966,12
1967,14
1968,9
1969,12
1970,17
1971,12
1972,18
1973,17
1974,21
1975,20
1976,27
1977,23
1978,20
1979,33
1980,30
1981,26
1982,25
1983,24
1984,30
1985,32
1986,29
1987,43
1988,41
1989,38
1990,53
1991,69
1992,55
1993,60
1994,66
1995,59
1996,64
1997,63
1998,84
1999,50
2000,77
2001,70
2002,82
2003,93
2004,82
2005,71
2006,81
2007,72
2008,62
2009,58
2010,54
2011,61
2012,37
