year,Len (F),Len (M)
1880,0.000000,0.000035
1881,0.000000,0.000057
1882,0.000000,0.000041
1883,0.000000,0.000046
1884,0.000000,0.000041
1885,0.000000,0.000058
1886,0.000000,0.000023
1887,0.000000,0.000032
1888,0.000000,0.000033
1889,0.000000,0.000021
1890,0.000000,0.000036
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000018
1894,0.000000,0.000024
1895,0.000000,0.000000
1896,0.000000,0.000036
1897,0.000000,0.000017
1898,0.000000,0.000018
1899,0.000000,0.000021
1900,0.000000,0.000022
1901,0.000000,0.000000
1902,0.000000,0.000023
1903,0.000000,0.000024
1904,0.000000,0.000022
1905,0.000000,0.000026
1906,0.000000,0.000033
1907,0.000000,0.000030
1908,0.000000,0.000000
1909,0.000000,0.000022
1910,0.000000,0.000017
1911,0.000000,0.000012
1912,0.000000,0.000024
1913,0.000000,0.000019
1914,0.000000,0.000014
1915,0.000000,0.000015
1916,0.000000,0.000016
1917,0.000000,0.000017
1918,0.000000,0.000016
1919,0.000000,0.000015
1920,0.000000,0.000019
1921,0.000000,0.000014
1922,0.000000,0.000014
1923,0.000000,0.000013
1924,0.000000,0.000011
1925,0.000000,0.000012
1926,0.000000,0.000012
1927,0.000000,0.000010
1928,0.000000,0.000016
1929,0.000000,0.000015
1930,0.000000,0.000016
1931,0.000000,0.000018
1932,0.000002,0.000018
1933,0.000000,0.000014
1934,0.000000,0.000016
1935,0.000000,0.000018
1936,0.000000,0.000015
1937,0.000000,0.000016
1938,0.000000,0.000017
1939,0.000000,0.000020
1940,0.000000,0.000020
1941,0.000000,0.000020
1942,0.000000,0.000014
1943,0.000000,0.000016
1944,0.000000,0.000018
1945,0.000000,0.000020
1946,0.000000,0.000020
1947,0.000000,0.000023
1948,0.000000,0.000022
1949,0.000001,0.000016
1950,0.000002,0.000019
1951,0.000000,0.000016
1952,0.000002,0.000024
1953,0.000002,0.000020
1954,0.000001,0.000018
1955,0.000000,0.000020
1956,0.000001,0.000019
1957,0.000002,0.000022
1958,0.000001,0.000029
1959,0.000002,0.000023
1960,0.000000,0.000029
1961,0.000002,0.000026
1962,0.000002,0.000023
1963,0.000000,0.000022
1964,0.000003,0.000023
1965,0.000000,0.000021
1966,0.000000,0.000020
1967,0.000000,0.000021
1968,0.000001,0.000025
1969,0.000000,0.000026
1970,0.000001,0.000031
1971,0.000000,0.000021
1972,0.000002,0.000017
1973,0.000000,0.000018
1974,0.000000,0.000012
1975,0.000000,0.000011
1976,0.000000,0.000014
1977,0.000000,0.000009
1978,0.000000,0.000009
1979,0.000000,0.000009
1980,0.000000,0.000007
1981,0.000000,0.000007
1982,0.000000,0.000006
1983,0.000000,0.000007
1984,0.000000,0.000004
1985,0.000000,0.000007
1986,0.000000,0.000005
1987,0.000000,0.000006
1988,0.000000,0.000004
1989,0.000000,0.000005
1990,0.000000,0.000004
1991,0.000000,0.000004
1992,0.000000,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000003
1995,0.000000,0.000004
1996,0.000000,0.000004
1997,0.000000,0.000003
1998,0.000000,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000003
2001,0.000000,0.000002
2002,0.000000,0.000000
2003,0.000000,0.000003
2004,0.000000,0.000002
2005,0.000000,0.000003
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000001
2009,0.000000,0.000003
2010,0.000000,0.000004
2011,0.000000,0.000002
2012,0.000000,0.000004
2013,0.000000,0.000002
