year,Lawerance
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,9
1917,7
1918,10
1919,9
1920,13
1921,11
1922,20
1923,13
1924,11
1925,12
1926,13
1927,11
1928,10
1929,13
1930,12
1931,9
1932,10
1933,16
1934,11
1935,13
1936,17
1937,15
1938,13
1939,22
1940,20
1941,21
1942,20
1943,20
1944,17
1945,17
1946,16
1947,21
1948,25
1949,35
1950,30
1951,30
1952,29
1953,27
1954,24
1955,25
1956,26
1957,22
1958,22
1959,17
1960,21
1961,17
1962,18
1963,17
1964,14
1965,8
1966,7
1967,10
1968,12
1969,13
1970,8
1971,8
1972,12
1973,11
1974,5
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,7
1983,5
1984,0
1985,0
1986,0
1987,6
1988,0
1989,5
1990,0
1991,0
1992,6
1993,0
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,5
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
