year,Lupita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,5
1915,0
1916,0
1917,0
1918,0
1919,0
1920,15
1921,6
1922,6
1923,8
1924,12
1925,10
1926,16
1927,5
1928,10
1929,13
1930,14
1931,15
1932,12
1933,12
1934,9
1935,9
1936,12
1937,20
1938,9
1939,13
1940,16
1941,13
1942,17
1943,23
1944,25
1945,33
1946,26
1947,43
1948,39
1949,38
1950,28
1951,33
1952,42
1953,38
1954,37
1955,49
1956,32
1957,39
1958,44
1959,37
1960,35
1961,35
1962,40
1963,34
1964,45
1965,41
1966,36
1967,47
1968,39
1969,38
1970,44
1971,34
1972,38
1973,43
1974,44
1975,44
1976,50
1977,49
1978,41
1979,48
1980,59
1981,61
1982,58
1983,51
1984,50
1985,48
1986,58
1987,58
1988,63
1989,74
1990,89
1991,85
1992,106
1993,116
1994,109
1995,97
1996,92
1997,97
1998,94
1999,108
2000,92
2001,107
2002,106
2003,98
2004,93
2005,149
2006,152
2007,158
2008,137
2009,144
2010,116
2011,103
2012,116
