year,Lissie
1880,11
1881,5
1882,14
1883,16
1884,8
1885,10
1886,5
1887,7
1888,12
1889,7
1890,11
1891,7
1892,9
1893,14
1894,14
1895,14
1896,11
1897,7
1898,16
1899,17
1900,12
1901,16
1902,12
1903,15
1904,11
1905,14
1906,16
1907,14
1908,21
1909,14
1910,15
1911,13
1912,19
1913,20
1914,20
1915,18
1916,18
1917,23
1918,25
1919,25
1920,17
1921,27
1922,19
1923,13
1924,31
1925,18
1926,23
1927,14
1928,11
1929,11
1930,13
1931,8
1932,8
1933,15
1934,5
1935,12
1936,12
1937,10
1938,9
1939,7
1940,6
1941,7
1942,5
1943,7
1944,5
1945,8
1946,6
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,12
1954,5
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,6
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,0
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
