year,Lova
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,7
1904,0
1905,5
1906,6
1907,0
1908,0
1909,9
1910,0
1911,7
1912,10
1913,6
1914,10
1915,13
1916,14
1917,10
1918,13
1919,8
1920,18
1921,13
1922,13
1923,12
1924,12
1925,12
1926,9
1927,13
1928,8
1929,16
1930,9
1931,15
1932,14
1933,5
1934,10
1935,8
1936,6
1937,0
1938,9
1939,13
1940,0
1941,6
1942,0
1943,10
1944,8
1945,5
1946,6
1947,5
1948,5
1949,0
1950,8
1951,0
1952,0
1953,0
1954,7
1955,5
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,6
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
