year,Lubertha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,8
1899,0
1900,0
1901,0
1902,0
1903,6
1904,0
1905,6
1906,9
1907,6
1908,0
1909,5
1910,6
1911,10
1912,9
1913,9
1914,9
1915,12
1916,17
1917,11
1918,13
1919,21
1920,15
1921,14
1922,32
1923,22
1924,16
1925,12
1926,14
1927,17
1928,15
1929,19
1930,20
1931,11
1932,8
1933,11
1934,18
1935,13
1936,9
1937,7
1938,20
1939,17
1940,11
1941,12
1942,15
1943,11
1944,10
1945,12
1946,14
1947,10
1948,14
1949,15
1950,11
1951,17
1952,0
1953,10
1954,9
1955,10
1956,0
1957,8
1958,10
1959,6
1960,9
1961,0
1962,8
1963,7
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
