year,Littie
1880,5
1881,5
1882,5
1883,0
1884,5
1885,0
1886,0
1887,0
1888,5
1889,7
1890,0
1891,0
1892,0
1893,5
1894,12
1895,10
1896,10
1897,13
1898,7
1899,8
1900,9
1901,9
1902,15
1903,5
1904,9
1905,6
1906,8
1907,7
1908,11
1909,5
1910,8
1911,8
1912,5
1913,15
1914,9
1915,14
1916,16
1917,9
1918,14
1919,16
1920,17
1921,17
1922,19
1923,17
1924,13
1925,9
1926,11
1927,15
1928,17
1929,20
1930,12
1931,12
1932,12
1933,9
1934,10
1935,6
1936,8
1937,0
1938,7
1939,5
1940,8
1941,8
1942,5
1943,6
1944,8
1945,6
1946,10
1947,6
1948,0
1949,8
1950,6
1951,0
1952,9
1953,6
1954,0
1955,0
1956,6
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
