year,Linnea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,5
1895,0
1896,0
1897,0
1898,7
1899,0
1900,8
1901,10
1902,9
1903,13
1904,14
1905,12
1906,10
1907,11
1908,12
1909,17
1910,15
1911,16
1912,35
1913,42
1914,28
1915,39
1916,47
1917,43
1918,53
1919,42
1920,24
1921,25
1922,9
1923,24
1924,25
1925,16
1926,19
1927,23
1928,16
1929,17
1930,13
1931,20
1932,19
1933,25
1934,17
1935,27
1936,20
1937,21
1938,33
1939,37
1940,46
1941,44
1942,63
1943,86
1944,70
1945,101
1946,106
1947,99
1948,102
1949,105
1950,108
1951,113
1952,104
1953,106
1954,104
1955,103
1956,96
1957,93
1958,80
1959,82
1960,75
1961,74
1962,81
1963,69
1964,78
1965,71
1966,64
1967,52
1968,56
1969,62
1970,61
1971,78
1972,47
1973,60
1974,50
1975,80
1976,73
1977,74
1978,87
1979,90
1980,83
1981,116
1982,111
1983,90
1984,80
1985,86
1986,99
1987,83
1988,98
1989,92
1990,115
1991,123
1992,126
1993,118
1994,121
1995,112
1996,123
1997,117
1998,127
1999,117
2000,124
2001,106
2002,126
2003,143
2004,130
2005,137
2006,160
2007,143
2008,149
2009,140
2010,147
2011,130
2012,146
