year,Lolita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,0
1894,0
1895,8
1896,6
1897,7
1898,5
1899,0
1900,8
1901,5
1902,26
1903,25
1904,18
1905,18
1906,18
1907,15
1908,15
1909,20
1910,13
1911,16
1912,15
1913,25
1914,38
1915,31
1916,44
1917,33
1918,43
1919,41
1920,53
1921,64
1922,52
1923,50
1924,65
1925,60
1926,62
1927,69
1928,62
1929,63
1930,90
1931,67
1932,75
1933,63
1934,54
1935,57
1936,54
1937,68
1938,63
1939,56
1940,83
1941,57
1942,81
1943,66
1944,72
1945,63
1946,76
1947,81
1948,71
1949,65
1950,85
1951,66
1952,90
1953,98
1954,116
1955,109
1956,84
1957,108
1958,94
1959,128
1960,98
1961,122
1962,298
1963,433
1964,285
1965,226
1966,292
1967,280
1968,243
1969,219
1970,218
1971,186
1972,142
1973,153
1974,116
1975,113
1976,108
1977,106
1978,94
1979,113
1980,94
1981,98
1982,94
1983,70
1984,65
1985,45
1986,46
1987,38
1988,54
1989,60
1990,35
1991,31
1992,30
1993,25
1994,26
1995,19
1996,20
1997,18
1998,19
1999,17
2000,21
2001,21
2002,11
2003,27
2004,23
2005,18
2006,26
2007,30
2008,26
2009,30
2010,11
2011,20
2012,28
