year,Luberta
1880,0
1881,0
1882,0
1883,6
1884,6
1885,0
1886,0
1887,0
1888,0
1889,0
1890,5
1891,0
1892,12
1893,12
1894,8
1895,6
1896,8
1897,6
1898,10
1899,0
1900,12
1901,13
1902,12
1903,10
1904,20
1905,5
1906,16
1907,14
1908,12
1909,8
1910,13
1911,15
1912,23
1913,9
1914,13
1915,23
1916,28
1917,19
1918,20
1919,34
1920,26
1921,20
1922,32
1923,33
1924,20
1925,38
1926,26
1927,26
1928,9
1929,20
1930,16
1931,21
1932,12
1933,16
1934,9
1935,11
1936,16
1937,19
1938,15
1939,17
1940,18
1941,6
1942,15
1943,8
1944,7
1945,10
1946,9
1947,9
1948,9
1949,13
1950,17
1951,8
1952,10
1953,12
1954,14
1955,10
1956,8
1957,0
1958,0
1959,7
1960,8
1961,5
1962,0
1963,6
1964,0
1965,7
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
