year,Laree
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,6
1915,12
1916,12
1917,7
1918,8
1919,9
1920,14
1921,12
1922,13
1923,9
1924,14
1925,22
1926,19
1927,15
1928,9
1929,21
1930,10
1931,19
1932,15
1933,16
1934,14
1935,17
1936,22
1937,18
1938,18
1939,16
1940,16
1941,16
1942,14
1943,13
1944,14
1945,17
1946,14
1947,18
1948,14
1949,22
1950,17
1951,16
1952,25
1953,19
1954,21
1955,25
1956,28
1957,28
1958,34
1959,32
1960,30
1961,27
1962,23
1963,21
1964,13
1965,14
1966,15
1967,24
1968,16
1969,25
1970,16
1971,18
1972,12
1973,16
1974,13
1975,9
1976,10
1977,14
1978,21
1979,9
1980,15
1981,26
1982,15
1983,22
1984,11
1985,23
1986,13
1987,12
1988,14
1989,11
1990,14
1991,12
1992,14
1993,13
1994,7
1995,10
1996,5
1997,5
1998,9
1999,7
2000,0
2001,7
2002,0
2003,8
2004,7
2005,6
2006,0
2007,0
2008,0
2009,0
2010,8
2011,7
2012,0
