year,Lehman
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,0
1906,5
1907,7
1908,0
1909,0
1910,0
1911,5
1912,12
1913,9
1914,11
1915,16
1916,19
1917,21
1918,17
1919,17
1920,18
1921,22
1922,28
1923,17
1924,28
1925,26
1926,25
1927,25
1928,26
1929,15
1930,14
1931,18
1932,27
1933,13
1934,14
1935,11
1936,12
1937,13
1938,16
1939,10
1940,21
1941,12
1942,15
1943,18
1944,10
1945,10
1946,14
1947,14
1948,11
1949,11
1950,9
1951,10
1952,14
1953,15
1954,15
1955,12
1956,11
1957,11
1958,12
1959,11
1960,8
1961,10
1962,15
1963,5
1964,11
1965,9
1966,8
1967,5
1968,0
1969,0
1970,5
1971,0
1972,5
1973,8
1974,7
1975,9
1976,9
1977,0
1978,0
1979,11
1980,9
1981,0
1982,0
1983,5
1984,8
1985,0
1986,5
1987,8
1988,0
1989,0
1990,0
1991,7
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,6
1999,0
2000,0
2001,0
2002,5
2003,7
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
