year,Lady
1880,0
1881,0
1882,0
1883,0
1884,6
1885,0
1886,0
1887,0
1888,7
1889,13
1890,6
1891,6
1892,7
1893,7
1894,8
1895,9
1896,11
1897,8
1898,13
1899,11
1900,25
1901,13
1902,9
1903,11
1904,15
1905,14
1906,15
1907,17
1908,12
1909,21
1910,14
1911,10
1912,21
1913,25
1914,23
1915,26
1916,24
1917,26
1918,23
1919,29
1920,30
1921,28
1922,28
1923,22
1924,28
1925,25
1926,23
1927,20
1928,24
1929,20
1930,10
1931,24
1932,16
1933,13
1934,13
1935,18
1936,17
1937,25
1938,18
1939,19
1940,16
1941,12
1942,11
1943,10
1944,11
1945,8
1946,16
1947,14
1948,11
1949,9
1950,14
1951,11
1952,10
1953,9
1954,8
1955,7
1956,9
1957,7
1958,10
1959,10
1960,13
1961,9
1962,10
1963,7
1964,12
1965,13
1966,9
1967,10
1968,9
1969,7
1970,5
1971,16
1972,0
1973,14
1974,11
1975,9
1976,9
1977,18
1978,12
1979,8
1980,9
1981,12
1982,13
1983,8
1984,5
1985,12
1986,9
1987,7
1988,9
1989,8
1990,11
1991,16
1992,15
1993,13
1994,12
1995,12
1996,14
1997,12
1998,11
1999,16
2000,17
2001,10
2002,12
2003,17
2004,24
2005,19
2006,20
2007,20
2008,14
2009,17
2010,25
2011,16
2012,16
