year,Latroy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,0
1968,6
1969,7
1970,6
1971,7
1972,23
1973,20
1974,19
1975,33
1976,34
1977,48
1978,34
1979,29
1980,48
1981,34
1982,21
1983,26
1984,16
1985,24
1986,12
1987,15
1988,19
1989,20
1990,15
1991,21
1992,11
1993,18
1994,13
1995,10
1996,15
1997,10
1998,6
1999,13
2000,15
2001,13
2002,10
2003,11
2004,10
2005,15
2006,17
2007,8
2008,10
2009,12
2010,14
2011,6
2012,12
