year,Loreta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,6
1902,0
1903,0
1904,8
1905,5
1906,6
1907,0
1908,5
1909,0
1910,13
1911,10
1912,9
1913,11
1914,21
1915,13
1916,36
1917,26
1918,22
1919,25
1920,32
1921,31
1922,14
1923,23
1924,16
1925,31
1926,28
1927,29
1928,26
1929,27
1930,17
1931,27
1932,35
1933,23
1934,35
1935,25
1936,23
1937,31
1938,20
1939,23
1940,15
1941,14
1942,17
1943,15
1944,13
1945,13
1946,10
1947,15
1948,19
1949,13
1950,12
1951,9
1952,14
1953,14
1954,13
1955,19
1956,12
1957,18
1958,13
1959,11
1960,13
1961,10
1962,0
1963,12
1964,15
1965,7
1966,9
1967,14
1968,8
1969,5
1970,11
1971,8
1972,5
1973,6
1974,0
1975,9
1976,8
1977,0
1978,0
1979,0
1980,0
1981,6
1982,6
1983,5
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,6
2000,0
2001,7
2002,6
2003,5
2004,5
2005,0
2006,0
2007,6
2008,5
2009,0
2010,0
2011,0
2012,0
