year,Lyle (F),Lyle (M)
1880,0.000000,0.000035
1881,0.000000,0.000031
1882,0.000000,0.000054
1883,0.000000,0.000032
1884,0.000000,0.000049
1885,0.000000,0.000054
1886,0.000000,0.000047
1887,0.000000,0.000069
1888,0.000023,0.000073
1889,0.000000,0.000062
1890,0.000017,0.000073
1891,0.000000,0.000108
1892,0.000015,0.000087
1893,0.000022,0.000089
1894,0.000024,0.000142
1895,0.000000,0.000114
1896,0.000028,0.000098
1897,0.000029,0.000112
1898,0.000024,0.000147
1899,0.000000,0.000124
1900,0.000013,0.000109
1901,0.000014,0.000174
1902,0.000018,0.000124
1903,0.000000,0.000173
1904,0.000000,0.000183
1905,0.000024,0.000144
1906,0.000012,0.000217
1907,0.000017,0.000163
1908,0.000014,0.000153
1909,0.000000,0.000141
1910,0.000014,0.000198
1911,0.000019,0.000199
1912,0.000015,0.000329
1913,0.000014,0.000301
1914,0.000019,0.000350
1915,0.000009,0.000392
1916,0.000008,0.000416
1917,0.000013,0.000426
1918,0.000008,0.000457
1919,0.000011,0.000416
1920,0.000013,0.000427
1921,0.000014,0.000431
1922,0.000007,0.000461
1923,0.000009,0.000439
1924,0.000010,0.000420
1925,0.000009,0.000434
1926,0.000010,0.000458
1927,0.000007,0.000455
1928,0.000007,0.000442
1929,0.000006,0.000459
1930,0.000009,0.000426
1931,0.000010,0.000448
1932,0.000008,0.000459
1933,0.000005,0.000458
1934,0.000007,0.000451
1935,0.000004,0.000448
1936,0.000007,0.000438
1937,0.000006,0.000411
1938,0.000003,0.000356
1939,0.000004,0.000378
1940,0.000004,0.000376
1941,0.000005,0.000386
1942,0.000003,0.000327
1943,0.000006,0.000313
1944,0.000004,0.000301
1945,0.000003,0.000289
1946,0.000003,0.000269
1947,0.000002,0.000251
1948,0.000004,0.000250
1949,0.000002,0.000239
1950,0.000004,0.000236
1951,0.000004,0.000221
1952,0.000004,0.000237
1953,0.000004,0.000231
1954,0.000003,0.000223
1955,0.000002,0.000205
1956,0.000004,0.000192
1957,0.000002,0.000199
1958,0.000002,0.000186
1959,0.000002,0.000183
1960,0.000002,0.000177
1961,0.000002,0.000159
1962,0.000002,0.000160
1963,0.000000,0.000145
1964,0.000002,0.000132
1965,0.000000,0.000126
1966,0.000000,0.000125
1967,0.000000,0.000111
1968,0.000000,0.000129
1969,0.000002,0.000125
1970,0.000002,0.000129
1971,0.000001,0.000115
1972,0.000002,0.000100
1973,0.000000,0.000095
1974,0.000000,0.000089
1975,0.000000,0.000081
1976,0.000000,0.000073
1977,0.000000,0.000088
1978,0.000002,0.000074
1979,0.000002,0.000074
1980,0.000000,0.000078
1981,0.000000,0.000071
1982,0.000002,0.000064
1983,0.000000,0.000071
1984,0.000000,0.000073
1985,0.000000,0.000069
1986,0.000000,0.000084
1987,0.000000,0.000070
1988,0.000000,0.000067
1989,0.000000,0.000066
1990,0.000000,0.000065
1991,0.000000,0.000046
1992,0.000000,0.000049
1993,0.000000,0.000042
1994,0.000000,0.000040
1995,0.000000,0.000039
1996,0.000000,0.000032
1997,0.000000,0.000033
1998,0.000000,0.000026
1999,0.000002,0.000025
2000,0.000000,0.000027
2001,0.000000,0.000027
2002,0.000000,0.000029
2003,0.000000,0.000031
2004,0.000000,0.000021
2005,0.000001,0.000022
2006,0.000000,0.000026
2007,0.000000,0.000022
2008,0.000000,0.000020
2009,0.000000,0.000023
2010,0.000000,0.000027
2011,0.000000,0.000037
2012,0.000000,0.000036
2013,0.000003,0.000047
