year,Lenise
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,5
1951,7
1952,7
1953,13
1954,25
1955,13
1956,9
1957,14
1958,21
1959,19
1960,17
1961,14
1962,25
1963,13
1964,20
1965,16
1966,15
1967,23
1968,17
1969,25
1970,17
1971,13
1972,16
1973,18
1974,22
1975,10
1976,9
1977,14
1978,19
1979,9
1980,16
1981,12
1982,17
1983,16
1984,12
1985,16
1986,5
1987,14
1988,20
1989,14
1990,12
1991,7
1992,16
1993,8
1994,10
1995,10
1996,9
1997,10
1998,7
1999,5
2000,6
2001,11
2002,10
2003,10
2004,6
2005,12
2006,7
2007,7
2008,7
2009,9
2010,10
2011,9
2012,8
