year,Luella
1880,111
1881,141
1882,117
1883,120
1884,158
1885,131
1886,136
1887,127
1888,171
1889,172
1890,184
1891,163
1892,207
1893,199
1894,228
1895,227
1896,230
1897,206
1898,261
1899,246
1900,268
1901,239
1902,262
1903,286
1904,246
1905,287
1906,291
1907,355
1908,336
1909,325
1910,374
1911,352
1912,483
1913,519
1914,603
1915,783
1916,842
1917,842
1918,949
1919,905
1920,852
1921,887
1922,861
1923,821
1924,775
1925,768
1926,640
1927,722
1928,661
1929,665
1930,596
1931,577
1932,495
1933,428
1934,388
1935,363
1936,338
1937,346
1938,293
1939,276
1940,251
1941,236
1942,216
1943,214
1944,180
1945,140
1946,172
1947,157
1948,184
1949,155
1950,127
1951,118
1952,93
1953,92
1954,101
1955,105
1956,85
1957,88
1958,67
1959,71
1960,79
1961,64
1962,68
1963,50
1964,52
1965,45
1966,46
1967,40
1968,23
1969,34
1970,35
1971,19
1972,30
1973,23
1974,16
1975,18
1976,18
1977,18
1978,23
1979,12
1980,15
1981,16
1982,18
1983,11
1984,12
1985,10
1986,7
1987,16
1988,13
1989,14
1990,14
1991,6
1992,6
1993,6
1994,12
1995,12
1996,12
1997,11
1998,11
1999,9
2000,14
2001,8
2002,13
2003,17
2004,31
2005,34
2006,57
2007,53
2008,79
2009,86
2010,102
2011,93
2012,108
