year,Lella
1880,5
1881,6
1882,0
1883,10
1884,7
1885,7
1886,0
1887,0
1888,9
1889,12
1890,5
1891,6
1892,10
1893,16
1894,9
1895,15
1896,14
1897,9
1898,14
1899,11
1900,10
1901,7
1902,6
1903,10
1904,9
1905,7
1906,9
1907,14
1908,11
1909,8
1910,10
1911,10
1912,13
1913,15
1914,21
1915,21
1916,30
1917,17
1918,21
1919,23
1920,17
1921,23
1922,22
1923,17
1924,15
1925,19
1926,15
1927,13
1928,18
1929,12
1930,12
1931,11
1932,14
1933,15
1934,7
1935,17
1936,8
1937,7
1938,9
1939,11
1940,11
1941,7
1942,7
1943,6
1944,6
1945,0
1946,14
1947,10
1948,5
1949,6
1950,7
1951,0
1952,8
1953,6
1954,5
1955,0
1956,0
1957,0
1958,0
1959,0
1960,5
1961,0
1962,0
1963,0
1964,0
1965,5
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,5
2012,0
