year,Lucie
1880,23
1881,10
1882,22
1883,22
1884,22
1885,13
1886,22
1887,26
1888,22
1889,23
1890,31
1891,25
1892,27
1893,26
1894,17
1895,22
1896,26
1897,31
1898,35
1899,19
1900,28
1901,19
1902,22
1903,20
1904,23
1905,21
1906,20
1907,31
1908,33
1909,15
1910,33
1911,36
1912,46
1913,44
1914,47
1915,70
1916,73
1917,65
1918,76
1919,54
1920,81
1921,68
1922,57
1923,58
1924,52
1925,44
1926,48
1927,45
1928,31
1929,37
1930,33
1931,40
1932,28
1933,31
1934,32
1935,35
1936,28
1937,24
1938,32
1939,36
1940,29
1941,33
1942,33
1943,37
1944,33
1945,20
1946,37
1947,35
1948,35
1949,39
1950,40
1951,30
1952,52
1953,55
1954,71
1955,52
1956,56
1957,57
1958,53
1959,52
1960,48
1961,51
1962,35
1963,27
1964,32
1965,29
1966,29
1967,37
1968,29
1969,29
1970,25
1971,26
1972,17
1973,25
1974,19
1975,16
1976,7
1977,18
1978,22
1979,20
1980,21
1981,30
1982,25
1983,19
1984,11
1985,28
1986,26
1987,23
1988,18
1989,27
1990,38
1991,34
1992,32
1993,41
1994,25
1995,28
1996,41
1997,41
1998,67
1999,54
2000,75
2001,74
2002,82
2003,107
2004,95
2005,106
2006,127
2007,138
2008,142
2009,143
2010,144
2011,159
2012,165
