year,Lucile (F),Lucile (M)
1880,0.000199,0.000000
1881,0.000187,0.000000
1882,0.000262,0.000000
1883,0.000226,0.000000
1884,0.000226,0.000000
1885,0.000324,0.000000
1886,0.000278,0.000000
1887,0.000344,0.000000
1888,0.000314,0.000000
1889,0.000467,0.000000
1890,0.000494,0.000000
1891,0.000617,0.000000
1892,0.000601,0.000000
1893,0.000597,0.000000
1894,0.000706,0.000000
1895,0.000707,0.000000
1896,0.000839,0.000000
1897,0.000775,0.000000
1898,0.000865,0.000000
1899,0.000899,0.000000
1900,0.000877,0.000000
1901,0.001001,0.000000
1902,0.001003,0.000000
1903,0.000971,0.000000
1904,0.001073,0.000000
1905,0.001130,0.000000
1906,0.001132,0.000000
1907,0.001092,0.000000
1908,0.001211,0.000010
1909,0.001115,0.000000
1910,0.001182,0.000000
1911,0.001015,0.000009
1912,0.000893,0.000000
1913,0.000882,0.000007
1914,0.000823,0.000000
1915,0.000786,0.000004
1916,0.000767,0.000004
1917,0.000755,0.000000
1918,0.000667,0.000003
1919,0.000686,0.000002
1920,0.000600,0.000002
1921,0.000532,0.000000
1922,0.000494,0.000002
1923,0.000458,0.000004
1924,0.000389,0.000000
1925,0.000386,0.000000
1926,0.000351,0.000003
1927,0.000309,0.000003
1928,0.000282,0.000000
1929,0.000248,0.000002
1930,0.000219,0.000000
1931,0.000172,0.000000
1932,0.000174,0.000000
1933,0.000153,0.000000
1934,0.000135,0.000000
1935,0.000127,0.000004
1936,0.000113,0.000002
1937,0.000109,0.000000
1938,0.000086,0.000000
1939,0.000085,0.000000
1940,0.000072,0.000000
1941,0.000074,0.000000
1942,0.000057,0.000000
1943,0.000052,0.000000
1944,0.000049,0.000000
1945,0.000045,0.000000
1946,0.000034,0.000000
1947,0.000036,0.000000
1948,0.000032,0.000000
1949,0.000029,0.000000
1950,0.000025,0.000000
1951,0.000021,0.000000
1952,0.000025,0.000000
1953,0.000022,0.000000
1954,0.000019,0.000000
1955,0.000018,0.000000
1956,0.000017,0.000000
1957,0.000013,0.000000
1958,0.000011,0.000000
1959,0.000011,0.000000
1960,0.000009,0.000000
1961,0.000008,0.000000
1962,0.000006,0.000000
1963,0.000005,0.000000
1964,0.000006,0.000000
1965,0.000004,0.000000
1966,0.000007,0.000000
1967,0.000003,0.000000
1968,0.000006,0.000000
1969,0.000002,0.000000
1970,0.000004,0.000000
1971,0.000003,0.000000
1972,0.000004,0.000000
1973,0.000004,0.000000
1974,0.000000,0.000000
1975,0.000004,0.000000
1976,0.000000,0.000000
1977,0.000003,0.000000
1978,0.000003,0.000000
1979,0.000000,0.000000
1980,0.000002,0.000000
1981,0.000002,0.000000
1982,0.000000,0.000000
1983,0.000002,0.000000
1984,0.000000,0.000000
1985,0.000002,0.000000
1986,0.000002,0.000000
1987,0.000001,0.000000
1988,0.000002,0.000000
1989,0.000003,0.000000
1990,0.000002,0.000000
1991,0.000003,0.000000
1992,0.000003,0.000000
1993,0.000002,0.000000
1994,0.000003,0.000000
1995,0.000003,0.000000
1996,0.000003,0.000000
1997,0.000003,0.000000
1998,0.000003,0.000000
1999,0.000003,0.000000
2000,0.000006,0.000000
2001,0.000003,0.000000
2002,0.000006,0.000000
2003,0.000004,0.000000
2004,0.000007,0.000000
2005,0.000005,0.000000
2006,0.000009,0.000000
2007,0.000006,0.000000
2008,0.000005,0.000000
2009,0.000008,0.000000
2010,0.000006,0.000000
2011,0.000007,0.000000
2012,0.000008,0.000000
2013,0.000008,0.000000
2014,0.000009,0.000000
2015,0.000011,0.000000
2016,0.000009,0.000000
2017,0.000008,0.000000
2018,0.000010,0.000000
2019,0.000010,0.000000
2020,0.000007,0.000000
