year,Ligia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,6
1921,0
1922,0
1923,0
1924,5
1925,0
1926,6
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,6
1949,5
1950,0
1951,0
1952,0
1953,0
1954,5
1955,0
1956,0
1957,0
1958,0
1959,7
1960,7
1961,8
1962,5
1963,5
1964,8
1965,7
1966,10
1967,12
1968,7
1969,12
1970,12
1971,24
1972,14
1973,14
1974,16
1975,14
1976,9
1977,7
1978,12
1979,6
1980,11
1981,12
1982,14
1983,20
1984,17
1985,28
1986,28
1987,27
1988,13
1989,15
1990,24
1991,20
1992,19
1993,15
1994,7
1995,12
1996,9
1997,12
1998,15
1999,9
2000,9
2001,15
2002,8
2003,13
2004,9
2005,8
2006,0
2007,11
2008,0
2009,13
2010,6
2011,5
2012,6
