year,Lyda
1880,32
1881,43
1882,38
1883,33
1884,39
1885,49
1886,35
1887,36
1888,51
1889,69
1890,56
1891,59
1892,46
1893,54
1894,52
1895,57
1896,59
1897,53
1898,76
1899,56
1900,44
1901,57
1902,58
1903,41
1904,57
1905,47
1906,53
1907,46
1908,46
1909,39
1910,55
1911,57
1912,73
1913,61
1914,102
1915,89
1916,145
1917,109
1918,110
1919,109
1920,96
1921,114
1922,79
1923,83
1924,99
1925,112
1926,75
1927,72
1928,61
1929,61
1930,65
1931,48
1932,52
1933,61
1934,41
1935,45
1936,65
1937,40
1938,43
1939,46
1940,46
1941,42
1942,52
1943,36
1944,29
1945,30
1946,46
1947,42
1948,31
1949,25
1950,27
1951,29
1952,31
1953,17
1954,23
1955,19
1956,22
1957,22
1958,12
1959,16
1960,25
1961,16
1962,17
1963,15
1964,18
1965,20
1966,10
1967,6
1968,13
1969,8
1970,7
1971,6
1972,7
1973,7
1974,7
1975,7
1976,5
1977,8
1978,8
1979,8
1980,8
1981,12
1982,8
1983,11
1984,9
1985,7
1986,11
1987,9
1988,7
1989,6
1990,7
1991,9
1992,12
1993,0
1994,11
1995,7
1996,0
1997,5
1998,11
1999,13
2000,8
2001,5
2002,6
2003,10
2004,10
2005,14
2006,6
2007,7
2008,11
2009,9
2010,5
2011,8
2012,14
