year,Lenna
1880,23
1881,13
1882,14
1883,22
1884,19
1885,25
1886,20
1887,29
1888,26
1889,21
1890,26
1891,32
1892,33
1893,31
1894,26
1895,35
1896,26
1897,28
1898,29
1899,23
1900,26
1901,20
1902,23
1903,14
1904,21
1905,20
1906,20
1907,20
1908,21
1909,23
1910,23
1911,30
1912,33
1913,36
1914,33
1915,59
1916,55
1917,47
1918,54
1919,43
1920,48
1921,62
1922,51
1923,45
1924,41
1925,36
1926,35
1927,47
1928,32
1929,32
1930,34
1931,27
1932,24
1933,29
1934,30
1935,33
1936,23
1937,25
1938,29
1939,25
1940,19
1941,22
1942,31
1943,27
1944,29
1945,35
1946,33
1947,35
1948,36
1949,34
1950,41
1951,24
1952,30
1953,29
1954,24
1955,19
1956,24
1957,25
1958,27
1959,26
1960,21
1961,18
1962,19
1963,14
1964,24
1965,30
1966,15
1967,20
1968,19
1969,22
1970,9
1971,19
1972,19
1973,17
1974,14
1975,15
1976,19
1977,19
1978,14
1979,10
1980,11
1981,16
1982,12
1983,14
1984,19
1985,10
1986,20
1987,13
1988,16
1989,14
1990,14
1991,7
1992,16
1993,10
1994,18
1995,14
1996,13
1997,10
1998,16
1999,9
2000,13
2001,12
2002,17
2003,19
2004,23
2005,24
2006,22
2007,27
2008,25
2009,27
2010,32
2011,26
2012,38
