year,Laveta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,8
1904,7
1905,0
1906,8
1907,0
1908,6
1909,0
1910,12
1911,8
1912,19
1913,15
1914,16
1915,21
1916,33
1917,36
1918,34
1919,40
1920,37
1921,32
1922,36
1923,25
1924,38
1925,31
1926,31
1927,43
1928,39
1929,31
1930,23
1931,37
1932,32
1933,42
1934,27
1935,32
1936,32
1937,23
1938,28
1939,32
1940,25
1941,26
1942,17
1943,22
1944,15
1945,18
1946,17
1947,15
1948,13
1949,17
1950,18
1951,18
1952,22
1953,20
1954,13
1955,18
1956,16
1957,18
1958,21
1959,17
1960,20
1961,15
1962,21
1963,14
1964,21
1965,10
1966,10
1967,15
1968,14
1969,6
1970,11
1971,7
1972,12
1973,7
1974,8
1975,10
1976,8
1977,5
1978,0
1979,9
1980,0
1981,7
1982,14
1983,5
1984,8
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
