year,Leonel (F),Leonel (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000009
1912,0.000000,0.000000
1913,0.000000,0.000010
1914,0.000000,0.000011
1915,0.000000,0.000013
1916,0.000000,0.000010
1917,0.000000,0.000005
1918,0.000000,0.000010
1919,0.000000,0.000009
1920,0.000000,0.000012
1921,0.000000,0.000011
1922,0.000000,0.000016
1923,0.000000,0.000006
1924,0.000000,0.000013
1925,0.000000,0.000010
1926,0.000000,0.000011
1927,0.000000,0.000014
1928,0.000000,0.000009
1929,0.000000,0.000014
1930,0.000000,0.000017
1931,0.000000,0.000015
1932,0.000000,0.000012
1933,0.000000,0.000012
1934,0.000000,0.000018
1935,0.000000,0.000015
1936,0.000000,0.000015
1937,0.000000,0.000017
1938,0.000000,0.000012
1939,0.000000,0.000021
1940,0.000000,0.000012
1941,0.000000,0.000015
1942,0.000000,0.000015
1943,0.000000,0.000011
1944,0.000000,0.000013
1945,0.000000,0.000013
1946,0.000000,0.000011
1947,0.000000,0.000015
1948,0.000000,0.000010
1949,0.000000,0.000017
1950,0.000000,0.000014
1951,0.000000,0.000010
1952,0.000000,0.000012
1953,0.000000,0.000010
1954,0.000000,0.000011
1955,0.000000,0.000013
1956,0.000000,0.000011
1957,0.000000,0.000013
1958,0.000000,0.000015
1959,0.000000,0.000012
1960,0.000000,0.000015
1961,0.000000,0.000012
1962,0.000000,0.000012
1963,0.000000,0.000014
1964,0.000000,0.000019
1965,0.000000,0.000019
1966,0.000000,0.000018
1967,0.000000,0.000020
1968,0.000000,0.000019
1969,0.000000,0.000020
1970,0.000000,0.000025
1971,0.000000,0.000028
1972,0.000000,0.000028
1973,0.000000,0.000034
1974,0.000000,0.000034
1975,0.000000,0.000040
1976,0.000000,0.000039
1977,0.000000,0.000031
1978,0.000000,0.000041
1979,0.000000,0.000041
1980,0.000000,0.000045
1981,0.000000,0.000050
1982,0.000000,0.000050
1983,0.000000,0.000043
1984,0.000000,0.000048
1985,0.000000,0.000051
1986,0.000000,0.000058
1987,0.000000,0.000057
1988,0.000000,0.000060
1989,0.000000,0.000066
1990,0.000000,0.000068
1991,0.000000,0.000079
1992,0.000000,0.000083
1993,0.000001,0.000086
1994,0.000000,0.000086
1995,0.000000,0.000082
1996,0.000000,0.000089
1997,0.000000,0.000084
1998,0.000000,0.000095
1999,0.000000,0.000101
2000,0.000000,0.000112
2001,0.000000,0.000110
2002,0.000000,0.000109
2003,0.000000,0.000118
2004,0.000000,0.000140
2005,0.000000,0.000165
2006,0.000000,0.000146
2007,0.000000,0.000139
2008,0.000000,0.000146
2009,0.000000,0.000152
2010,0.000000,0.000161
2011,0.000000,0.000159
2012,0.000000,0.000170
2013,0.000000,0.000168
