year,Lizabeth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,6
1916,6
1917,0
1918,7
1919,7
1920,9
1921,5
1922,9
1923,0
1924,5
1925,0
1926,6
1927,0
1928,8
1929,7
1930,13
1931,25
1932,10
1933,17
1934,16
1935,11
1936,16
1937,17
1938,13
1939,11
1940,10
1941,8
1942,7
1943,7
1944,14
1945,20
1946,52
1947,78
1948,85
1949,106
1950,102
1951,98
1952,127
1953,137
1954,129
1955,132
1956,136
1957,135
1958,190
1959,137
1960,137
1961,147
1962,116
1963,109
1964,103
1965,121
1966,125
1967,96
1968,76
1969,98
1970,87
1971,74
1972,54
1973,76
1974,55
1975,41
1976,54
1977,50
1978,60
1979,59
1980,72
1981,60
1982,51
1983,53
1984,53
1985,64
1986,59
1987,65
1988,52
1989,66
1990,54
1991,72
1992,51
1993,75
1994,72
1995,44
1996,53
1997,49
1998,42
1999,50
2000,42
2001,47
2002,67
2003,70
2004,50
2005,46
2006,36
2007,40
2008,39
2009,23
2010,32
2011,34
2012,32
