year,Laquita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,68
1931,59
1932,68
1933,53
1934,45
1935,46
1936,33
1937,40
1938,44
1939,27
1940,39
1941,30
1942,21
1943,14
1944,15
1945,21
1946,35
1947,25
1948,30
1949,34
1950,32
1951,37
1952,48
1953,31
1954,48
1955,55
1956,53
1957,62
1958,48
1959,53
1960,59
1961,69
1962,55
1963,56
1964,64
1965,40
1966,26
1967,53
1968,59
1969,72
1970,56
1971,89
1972,108
1973,123
1974,132
1975,180
1976,151
1977,188
1978,214
1979,197
1980,225
1981,197
1982,203
1983,248
1984,222
1985,219
1986,217
1987,205
1988,196
1989,209
1990,238
1991,226
1992,144
1993,151
1994,72
1995,53
1996,37
1997,30
1998,26
1999,13
2000,12
2001,15
2002,0
2003,10
2004,9
2005,5
2006,0
2007,5
2008,6
2009,0
2010,0
2011,0
2012,0
