year,Luba
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,7
1914,10
1915,8
1916,0
1917,7
1918,16
1919,16
1920,8
1921,11
1922,13
1923,11
1924,6
1925,8
1926,9
1927,10
1928,11
1929,12
1930,6
1931,6
1932,8
1933,5
1934,5
1935,6
1936,9
1937,7
1938,7
1939,5
1940,7
1941,0
1942,5
1943,0
1944,6
1945,0
1946,0
1947,0
1948,5
1949,0
1950,19
1951,15
1952,23
1953,20
1954,17
1955,16
1956,19
1957,18
1958,14
1959,13
1960,10
1961,11
1962,11
1963,9
1964,9
1965,7
1966,7
1967,5
1968,7
1969,5
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,5
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,7
2009,5
2010,0
2011,0
2012,0
