year,Lorina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,7
1895,0
1896,0
1897,5
1898,7
1899,0
1900,6
1901,5
1902,0
1903,5
1904,0
1905,5
1906,5
1907,0
1908,6
1909,8
1910,6
1911,14
1912,10
1913,10
1914,15
1915,11
1916,20
1917,19
1918,13
1919,14
1920,15
1921,13
1922,19
1923,26
1924,20
1925,19
1926,22
1927,28
1928,15
1929,8
1930,8
1931,15
1932,14
1933,8
1934,9
1935,12
1936,12
1937,13
1938,11
1939,6
1940,11
1941,11
1942,13
1943,24
1944,12
1945,11
1946,17
1947,14
1948,17
1949,10
1950,15
1951,13
1952,14
1953,16
1954,14
1955,7
1956,18
1957,12
1958,15
1959,11
1960,23
1961,22
1962,23
1963,22
1964,30
1965,25
1966,26
1967,31
1968,25
1969,24
1970,32
1971,34
1972,31
1973,31
1974,25
1975,20
1976,21
1977,22
1978,23
1979,21
1980,28
1981,28
1982,20
1983,20
1984,35
1985,37
1986,38
1987,23
1988,15
1989,25
1990,25
1991,24
1992,16
1993,10
1994,22
1995,9
1996,11
1997,8
1998,8
1999,7
2000,0
2001,7
2002,7
2003,6
2004,12
2005,9
2006,6
2007,6
2008,0
2009,0
2010,0
2011,0
2012,6
