year,Lessie (F),Lessie (M)
1880,0.000089,0.000000
1881,0.000093,0.000000
1882,0.000113,0.000000
1883,0.000148,0.000023
1884,0.000185,0.000000
1885,0.000158,0.000000
1886,0.000247,0.000000
1887,0.000271,0.000000
1888,0.000230,0.000000
1889,0.000256,0.000000
1890,0.000262,0.000000
1891,0.000223,0.000000
1892,0.000293,0.000000
1893,0.000295,0.000000
1894,0.000230,0.000000
1895,0.000379,0.000000
1896,0.000336,0.000000
1897,0.000291,0.000014
1898,0.000367,0.000000
1899,0.000298,0.000000
1900,0.000391,0.000000
1901,0.000382,0.000020
1902,0.000424,0.000013
1903,0.000380,0.000021
1904,0.000434,0.000000
1905,0.000396,0.000000
1906,0.000362,0.000012
1907,0.000400,0.000015
1908,0.000370,0.000014
1909,0.000305,0.000000
1910,0.000352,0.000022
1911,0.000341,0.000012
1912,0.000249,0.000011
1913,0.000215,0.000006
1914,0.000237,0.000013
1915,0.000175,0.000013
1916,0.000197,0.000013
1917,0.000166,0.000011
1918,0.000166,0.000010
1919,0.000178,0.000011
1920,0.000144,0.000013
1921,0.000148,0.000009
1922,0.000129,0.000010
1923,0.000139,0.000009
1924,0.000132,0.000011
1925,0.000136,0.000013
1926,0.000111,0.000008
1927,0.000119,0.000005
1928,0.000106,0.000007
1929,0.000109,0.000004
1930,0.000110,0.000009
1931,0.000093,0.000006
1932,0.000098,0.000008
1933,0.000087,0.000009
1934,0.000092,0.000013
1935,0.000080,0.000013
1936,0.000081,0.000006
1937,0.000080,0.000008
1938,0.000075,0.000005
1939,0.000067,0.000008
1940,0.000061,0.000008
1941,0.000060,0.000011
1942,0.000051,0.000005
1943,0.000052,0.000005
1944,0.000042,0.000004
1945,0.000048,0.000006
1946,0.000044,0.000005
1947,0.000039,0.000006
1948,0.000040,0.000003
1949,0.000033,0.000004
1950,0.000029,0.000003
1951,0.000031,0.000003
1952,0.000026,0.000002
1953,0.000026,0.000002
1954,0.000024,0.000002
1955,0.000026,0.000005
1956,0.000018,0.000003
1957,0.000019,0.000002
1958,0.000016,0.000001
1959,0.000013,0.000002
1960,0.000012,0.000003
1961,0.000017,0.000003
1962,0.000014,0.000003
1963,0.000012,0.000002
1964,0.000014,0.000000
1965,0.000012,0.000000
1966,0.000014,0.000002
1967,0.000007,0.000000
1968,0.000012,0.000000
1969,0.000009,0.000002
1970,0.000005,0.000001
1971,0.000009,0.000002
1972,0.000005,0.000000
1973,0.000004,0.000000
1974,0.000008,0.000000
1975,0.000006,0.000000
1976,0.000008,0.000000
1977,0.000003,0.000002
1978,0.000006,0.000000
1979,0.000006,0.000002
1980,0.000005,0.000000
1981,0.000005,0.000000
1982,0.000007,0.000000
1983,0.000005,0.000000
1984,0.000005,0.000000
1985,0.000005,0.000000
1986,0.000002,0.000001
1987,0.000004,0.000000
1988,0.000004,0.000000
1989,0.000003,0.000000
1990,0.000004,0.000000
1991,0.000004,0.000000
1992,0.000002,0.000000
1993,0.000002,0.000000
1994,0.000000,0.000000
1995,0.000002,0.000000
1996,0.000002,0.000000
1997,0.000001,0.000000
1998,0.000002,0.000000
1999,0.000002,0.000000
2000,0.000001,0.000000
2001,0.000000,0.000000
2002,0.000002,0.000000
2003,0.000002,0.000000
2004,0.000000,0.000000
2005,0.000000,0.000000
2006,0.000001,0.000000
2007,0.000001,0.000000
2008,0.000002,0.000000
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000000,0.000000
2012,0.000000,0.000000
2013,0.000000,0.000000
2014,0.000000,0.000000
2015,0.000000,0.000000
2016,0.000000,0.000000
2017,0.000000,0.000000
2018,0.000000,0.000000
2019,0.000000,0.000000
2020,0.000000,0.000000
