year,Lorette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,5
1905,5
1906,0
1907,0
1908,0
1909,11
1910,6
1911,6
1912,6
1913,12
1914,19
1915,26
1916,15
1917,20
1918,17
1919,15
1920,20
1921,20
1922,27
1923,20
1924,23
1925,11
1926,18
1927,22
1928,20
1929,21
1930,20
1931,19
1932,17
1933,14
1934,9
1935,15
1936,16
1937,9
1938,5
1939,17
1940,17
1941,11
1942,17
1943,19
1944,23
1945,9
1946,15
1947,15
1948,8
1949,17
1950,13
1951,5
1952,19
1953,18
1954,23
1955,24
1956,46
1957,17
1958,12
1959,23
1960,12
1961,22
1962,13
1963,16
1964,16
1965,16
1966,14
1967,18
1968,13
1969,13
1970,11
1971,9
1972,6
1973,9
1974,8
1975,5
1976,0
1977,6
1978,6
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
