year,Laquitta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,5
1933,0
1934,6
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,0
1954,6
1955,7
1956,7
1957,6
1958,0
1959,0
1960,5
1961,13
1962,11
1963,0
1964,6
1965,8
1966,8
1967,14
1968,7
1969,7
1970,12
1971,15
1972,22
1973,16
1974,20
1975,15
1976,28
1977,18
1978,21
1979,34
1980,32
1981,24
1982,26
1983,27
1984,27
1985,27
1986,29
1987,26
1988,32
1989,30
1990,29
1991,17
1992,15
1993,10
1994,6
1995,9
1996,6
1997,7
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
